text,label
"Your OTP for salary portal is 482911. Do not share it with anyone.",safe
"Meeting moved to 4 PM. Please bring the printed report.",safe
"Mom reached home safely. Call when you are free.",safe
"Electricity bill paid successfully. Receipt will be emailed shortly.",safe
"Your order has been delivered. Rate your experience in the app.",safe
"Can you send me the class notes before lunch?",safe
"Your bus is running 10 minutes late today.",safe
"Lunch at 1:30 near the library?",safe
"Reminder: Project viva starts tomorrow at 9 AM.",safe
"Your internet pack has been renewed for 28 days.",safe
"Doctor appointment confirmed for Friday at 6 PM.",safe
"Please review the assignment draft and reply tonight.",safe
"Happy birthday. Wishing you a great year ahead.",safe
"Bank alert: Rs 500 credited to your account ending 9032.",safe
"Your train ticket is confirmed. Coach S2 seat 31.",safe
"The meeting link is in the WhatsApp group description.",safe
"Your parcel is out for delivery and will arrive by evening.",safe
"Library fine paid. Thank you for using the campus portal.",safe
"Class canceled today due to maintenance in the lab.",safe
"Please share the venue location once you reach there.",safe
"URGENT: Your bank account has been suspended. Verify now at http://bank-security-check.com",threat
"You won a cash prize of Rs 50,000. Claim immediately by clicking http://reward-claim-now.net",threat
"Dear user, update KYC today or your account will be blocked: http://secure-verify-login.com",threat
"Your package is on hold. Confirm payment details here http://delivery-check-pay.com",threat
"Congratulations winner! Send your ATM pin to receive the reward.",threat
"Final warning: confirm your payroll login and password now.",threat
"Your SIM will be deactivated today. Verify OTP at http://sim-verify-fast.com",threat
"Click here to unlock your tax refund and bank transfer.",threat
"You have been selected for a free gift card. Claim now.",threat
"Security alert: unusual sign in detected. Reset your account immediately.",threat
"Your account is blocked due to suspicious activity. Open the link now.",threat
"Get instant loan approval. Pay processing fee to release funds.",threat
"Please send CVV number to complete bank verification.",threat
"Your crypto wallet requires urgent validation. Login at http://wallet-login-bonus.net",threat
"Act now to avoid salary account freeze. Confirm PAN and OTP.",threat
"Winner! Claim free iPhone now by entering bank details.",threat
"Bank notice: tap to update KYC before midnight.",threat
"Immediate action required. Your UPI access will expire today.",threat
"Your account has a pending refund. Verify card details now.",threat
"Exclusive bonus waiting. Open secure reward link immediately.",threat
